1158.3448539103845,1272.9361247325646,-6,1273.4000244140625,1202.4138422466056
3376.0007714529916,3359.414253409204,-14,3360.10009765625,2923.6855915486344
3376.0007714529916,3359.414253409204,-14,3360.10009765625,2923.6855915486344
3376.0007714529916,3359.414253409204,-14,3360.10009765625,2923.6855915486344
118.20484965302848,118.5735978275066,0,118.0999984741211,119.73720891531298
7070.5131908792155,7450.2683648578395,0,7449.10009765625,7501.9857380677
954.1483981707735,982.0502983714032,0,982.9500122070312,990.1966873430794
1158.3448539103845,1272.9361247325646,-14,1273.4000244140625,1100.5789522680004
932.5771154335587,919.5911291790142,0,919.9500122070312,929.5661996460769
202.8898451945391,235.43935215163205,-2,235.25,231.13198821269015
9541.631794027811,10307.110283335442,0,10303.599609375,10364.252676810338
858.1913788293743,923.4096567662755,0,923.8499755859376,928.7306566577241
2881.1031625895966,3047.326749888517,0,3052.10009765625,3067.826602149467
1418.5659920163698,1370.1565890609882,-14,1370.1500244140625,1194.9407966603826
421.0465088542776,431.45896069124007,0,431.1499938964844,435.1488031879347
421.0465088542776,431.45896069124007,0,431.1499938964844,435.1488031879347
3376.0007714529916,3359.414253409204,-14,3360.10009765625,2923.6855915486344
1064.1801282973427,1132.7774555834653,0,1132.8499755859375,1139.9893905021324
1064.6924587148217,1140.234765191381,0,1141.0999755859375,1147.1045744547014
3375.4217021157356,3355.3612699285277,-10,3350.89990234375,3054.5823815661925
1097.6576804788474,1204.904940192562,0,1206.3499755859375,1210.5191540116646
7071.754952954654,7410.867953654538,0,7411.5,7464.62985314909
203.08367594369594,234.41220691662713,0,234.3500061035156,234.87661712741752
954.368856974096,989.4872869274215,0,988.8499755859376,997.2750539994961
3375.4217021157356,3355.3612699285277,-10,3350.89990234375,3054.5823815661925
1600.4991424300017,1483.3887372560293,0,1483.75,1505.249248939028
1064.6924587148217,1140.234765191381,0,1141.0999755859375,1147.1045744547014
7071.754952954654,7410.867953654538,0,7411.5,7464.62985314909
203.08367594369594,234.41220691662713,0,234.3500061035156,234.87661712741752
1418.4219680307242,1404.3239891422666,-21,1403.300048828125,1124.3050700471208
1418.4219680307242,1404.3239891422666,-21,[1411.0356],1403.300048828125,1124.3050700471208
2884.5066132905636,3166.8095874094743,0,[3177.09],3166.89990234375,3181.539504836434
3375.1365535836635,3381.7008210322383,-18,[3362.1936],3380.25,3354.2533584170656
7074.427095082566,7570.597991093487,-1,[7613.7427],7562.0498046875,7608.963119252672
7074.427095082566,7570.597991093487,-1,[7996.834],7562.0498046875,7540.827737332831
3375.1365535836635,3381.7008210322383,-20,[3396.0137],3380.25,2671.2154352430393
3375.1365535836635,3381.7008210322383,-19,[3421.2812],3380.25,2738.7838089891984
3375.1365535836635,3381.7008210322383,-19,3386.135009765625,3380.25,2738.7838089891984
7074.427095082566,7570.597991093487,-1,7661.390625,7562.0498046875,7465.121757421896
7074.427095082566,7570.597991093487,-1,7747.54296875,7562.0498046875,7465.121757421896
7074.427095082566,7570.597991093487,-1,7450.64208984375,7562.0498046875,7465.121757421896
3375.1365535836635,3381.7008210322383,-20,3397.68896484375,3380.25,2704.966800778876
1065.2815992093679,1146.1978619546815,0,1125.5487060546875,1150.0,1141.3428861899627
3375.1365535836635,3381.7008210322383,-9,3403.2216796875,3380.25,3076.953891092422
3375.1365535836635,3381.7008210322383,-4,3321.44287109375,3380.25,3246.0389321440343
1065.2815992093679,1146.1978619546815,0,1119.7432861328125,1150.0,1141.3428861899627
1098.425457094147,1203.8087497583588,0,1245.3974609375,1204.0999755859375,1197.4857521985061
7074.427095082566,7570.597991093487,0,7615.71337890625,7562.0498046875,7540.827737332831
203.28879750299336,235.7294585417322,0,245.59454345703125,235.8500061035156,233.78301887940785
954.7827798253342,1005.3852847679883,0,985.0671997070312,1009.4000244140624,1002.349134471429
1599.609710170172,1495.172582371129,0,1506.4676513671875,1494.5,1501.4388100390715
932.5128744508106,945.2464794513985,0,939.9295043945312,945.4500122070312,944.4824631513632
2448.78260390119,2334.892034867817,0,2254.359375,2339.0,2365.0743893584977
1159.8188373258254,1268.7356094853878,-4,1262.365234375,1269.699951171875,1224.1385348712524
1418.4219680307242,1404.3239891422666,-4,1377.9249267578125,1403.300048828125,1363.040148201306
1418.4219680307242,1404.3239891422666,-10,1329.749755859375,1403.300048828125,1138.3483099385435
1418.4219680307242,1404.3239891422666,-10,1367.7806396484375,1403.300048828125,1278.78070885277
7074.427095082566,7570.597991093487,-1,7426.154296875,7562.0498046875,7540.827737332831
203.28879750299336,235.7294585417322,0,237.41920471191406,235.8500061035156,236.14031346482517
954.7827798253342,1005.3852847679883,-1,975.1946411132812,1009.4000244140624,1002.349134471429
2448.78260390119,2334.892034867817,0,2347.36083984375,2339.0,2365.0743893584977
118.18652729457722,119.65059504573027,0,119.85489654541016,119.4000015258789,120.75925693111837
1098.425457094147,1203.8087497583588,0,1138.48193359375,1204.0999755859375,1209.5238396960897
203.28879750299336,235.7294585417322,0,238.26736450195312,235.8500061035156,236.14031346482517
7074.427095082566,7570.597991093487,-1,7548.703125,7562.0498046875,7540.827737332831
954.7827798253342,1005.3852847679883,-1,1019.6259155273438,1009.4000244140624,1002.349134471429
1599.609710170172,1495.172582371129,-1,1516.865478515625,1494.5,1501.4388100390715
932.5128744508106,945.2464794513985,-1,932.14208984375,945.4500122070312,944.4824631513632
2448.78260390119,2334.892034867817,0,2368.942138671875,2339.0,2365.0743893584977
118.18652729457722,119.65059504573027,0,120.95901489257812,119.4000015258789,120.75925693111837
580.2175928448715,575.3075273202007,0,569.0130615234375,574.3499755859375,581.355206524883
859.2836976809506,938.6697853601291,0,912.1378784179688,939.2000122070312,943.2933179529797
9549.48629520844,10283.934278968765,0,10677.494140625,10284.849609375,10342.706742732833
250.90449429086723,316.0957301230274,0,294.57421875,316.54998779296875,315.34521327432805
2884.5066132905636,3166.8095874094743,0,3071.621826171875,3166.89990234375,3181.539504836434
250.90449429086723,316.0957301230274,0,334.460693359375,316.54998779296875,315.34521327432805
1418.4219680307242,1404.3239891422666,-10,1355.00244140625,1403.300048828125,1278.78070885277
420.94469073186156,435.0591182557782,-2,437.5604553222656,435.3500061035156,429.86166142178536
1159.8188373258254,1268.7356094853878,-10,1248.2352294921875,1269.699951171875,1148.0143983021292
3375.1365535836635,3381.7008210322383,-10,3400.9921875,3380.25,3076.953891092422
